Density,variable,value
0.776,Healthy,0.9697655283487522
0.778,Healthy,0.9632253187919857
0.78,Healthy,0.9564414301815002
0.782,Healthy,0.9493457029334817
0.784,Healthy,0.9418854971565556
0.786,Healthy,0.9340294058073897
0.788,Healthy,0.9257695574605872
0.79,Healthy,0.9171207382533964
0.792,Healthy,0.9081176761572725
0.794,Healthy,0.8988120840943706
0.796,Healthy,0.8892704067799422
0.798,Healthy,0.8795721389271874
0.8,Healthy,0.8698077766772573
0.802,Healthy,0.860075407405968
0.804,Healthy,0.8504756104522749
0.806,Healthy,0.8411052487774103
0.808,Healthy,0.8320512783364624
0.81,Healthy,0.8233855699774737
0.812,Healthy,0.8151610918275577
0.814,Healthy,0.8074091507337942
0.816,Healthy,0.8001372353485585
0.818,Healthy,0.7933274722804242
0.82,Healthy,0.7869364682293809
0.822,Healthy,0.780897780969785
0.824,Healthy,0.7751279831807993
0.826,Healthy,0.7695362264878972
0.828,Healthy,0.7640358164776532
0.83,Healthy,0.7585552421204578
0.832,Healthy,0.7530459074156177
0.834,Healthy,0.7474846326436393
0.836,Healthy,0.7418705230991083
0.838,Healthy,0.7362174581344844
0.84,Healthy,0.7305446375795281
0.842,Healthy,0.7248679633211751
0.844,Healthy,0.7191944887030758
0.846,Healthy,0.713520994059234
0.848,Healthy,0.7078363760633021
0.85,Healthy,0.7021264240503006
0.852,Healthy,0.696379028661793
0.854,Healthy,0.6905880403907468
0.856,Healthy,0.6847547380648504
0.858,Healthy,0.6788868613985287
0.86,Healthy,0.6729960206897628
0.862,Healthy,0.6670947162244186
0.864,Healthy,0.6611940731910635
0.866,Healthy,0.6553028505987218
0.868,Healthy,0.6494276024205341
0.87,Healthy,0.6435733701698912
0.872,Healthy,0.6377441659040819
0.874,Healthy,0.6319427674941744
0.876,Healthy,0.6261698227115202
0.878,Healthy,0.6204226981473108
0.88,Healthy,0.6146947136826316
0.882,Healthy,0.6089753055136132
0.884,Healthy,0.6032513330531164
0.886,Healthy,0.597509342435552
0.888,Healthy,0.591738275949735
0.89,Healthy,0.5859319668828794
0.892,Healthy,0.5800908028472841
0.894,Healthy,0.5742221436531127
0.896,Healthy,0.5683393826148783
0.898,Healthy,0.5624598700277871
0.9,Healthy,0.55660219260192
0.902,Healthy,0.5507834391574464
0.904,Healthy,0.5450170243364619
0.906,Healthy,0.5393113949134386
0.908,Healthy,0.5336695960728646
0.91,Healthy,0.5280893743409856
0.912,Healthy,0.522563379501662
0.914,Healthy,0.5170791584492715
0.916,Healthy,0.5116189487215254
0.918,Healthy,0.506159619604239
0.92,Healthy,0.5006732956797628
0.922,Healthy,0.4951291221146506
0.924,Healthy,0.4894963088164096
0.926,Healthy,0.4837481544888766
0.928,Healthy,0.47786638603762965
0.93,Healthy,0.47184500330030216
0.932,Healthy,0.4656929460921454
0.934,Healthy,0.45943524268264774
0.936,Healthy,0.4531127272788073
0.938,Healthy,0.4467807937266118
0.94,Healthy,0.4405078951724648
0.942,Healthy,0.4343745867921666
0.944,Healthy,0.42847387882299703
0.946,Healthy,0.4229135790560209
0.948,Healthy,0.4178212025235833
0.95,Healthy,0.4133519236151487
0.952,Healthy,0.4096999173436132
0.954,Healthy,0.4071132276889041
0.956,Healthy,0.4059119336390874
0.958,Healthy,0.4065087620419175
0.96,Healthy,0.4094303181535075
0.962,Healthy,0.41533568601327137
0.964,Healthy,0.42502727759448516
0.966,Healthy,0.4394466132489631
0.968,Healthy,0.4596455703310531
0.97,Healthy,0.4867222503244713
0.972,Healthy,0.5217110700677454
0.974,Healthy,0.5654203357861604
0.976,Healthy,0.6182187060839603
0.978,Healthy,0.6797851994974622
0.98,Healthy,0.7488548328821126
0.982,Healthy,0.8230103715146783
0.984,Healthy,0.8985843227315403
0.986,Healthy,0.970736925181164
0.988,Healthy,1.033758884328655
0.99,Healthy,1.08160932978806
0.992,Healthy,1.1086442432329544
0.994,Healthy,1.1104308518981854
0.996,Healthy,1.0844975403675936
0.998,Healthy,1.0308552754544698
0.0,Glaucoma,0.5720841962463434
0.002,Glaucoma,0.5876405735871988
0.004,Glaucoma,0.5917823891265038
0.006,Glaucoma,0.5860621159080871
0.008,Glaucoma,0.5728528788733483
0.01,Glaucoma,0.5549616568401002
0.012,Glaucoma,0.5352128407601833
0.014,Glaucoma,0.516082710379164
0.016,Glaucoma,0.4994459385886375
0.018,Glaucoma,0.4864633432308048
0.02,Glaucoma,0.4776055018397707
0.022,Glaucoma,0.4727788354808184
0.024,Glaucoma,0.4715055449218008
0.026,Glaucoma,0.4731080851258923
0.028,Glaucoma,0.47686022827655006
0.03,Glaucoma,0.48208495968678494
0.032,Glaucoma,0.48819841720662316
0.034,Glaucoma,0.4947136999925305
0.036,Glaucoma,0.5012255908867307
0.038,Glaucoma,0.507396487948713
0.04,Glaucoma,0.5129567611707129
0.042,Glaucoma,0.5177224610832399
0.044,Glaucoma,0.5216234436513452
0.046,Glaucoma,0.5247286932086855
0.048,Glaucoma,0.5272547600351585
0.05,Glaucoma,0.5295478339368158
0.052,Glaucoma,0.532038349422704
0.054,Glaucoma,0.5351762605498875
0.056,Glaucoma,0.5393620692510473
0.058,Glaucoma,0.544890947147264
0.06,Glaucoma,0.551924026259873
0.062,Glaucoma,0.5604931536798551
0.064,Glaucoma,0.570535600401554
0.066,Glaucoma,0.5819465204000397
0.068,Glaucoma,0.5946321040243072
0.07,Glaucoma,0.6085468027410784
0.072,Glaucoma,0.623703446588291
0.074,Glaucoma,0.6401536918046085
0.076,Glaucoma,0.6579452766492389
