Density,variable,value
153.51,Healthy,0.003584336305649755
154.02,Healthy,0.00358155307150288
154.53,Healthy,0.003578497598778788
155.04,Healthy,0.00357500715925623
155.55,Healthy,0.0035709419120307758
156.06,Healthy,0.0035661946241919247
156.57,Healthy,0.003560701038485891
157.08,Healthy,0.003554449296206099
157.59,Healthy,0.0035474867041604095
158.1,Healthy,0.003539922381485811
158.61,Healthy,0.003531924856361625
159.12,Healthy,0.0035237143597819758
159.63,Healthy,0.003515550228311302
160.14,Healthy,0.0035077143588389628
160.65,Healthy,0.0035004920104216067
161.16,Healthy,0.003494151419760609
161.67,Healthy,0.0034889237481634857
162.18,Healthy,0.0034849848454248512
162.69,Healthy,0.0034824402301972582
163.2,Healthy,0.0034813145350709985
163.71,Healthy,0.0034815464133130048
164.22,Healthy,0.00348298951977358
164.73,Healthy,0.003485419646195812
165.24,Healthy,0.0034885474431517703
165.75,Healthy,0.003492035474678786
166.26,Healthy,0.003495517746515258
166.77,Healthy,0.003498619468935382
167.28,Healthy,0.003500974784541385
167.79,Healthy,0.0035022405795296454
168.3,Healthy,0.0035021052857362803
168.81,Healthy,0.003500292634344579
169.32,Healthy,0.003496561417373009
169.83,Healthy,0.0034907031835534116
170.34,Healthy,0.003482540199622014
170.85,Healthy,0.003471925820014369
171.36,Healthy,0.0034587486456539736
171.87,Healthy,0.003442940690320471
172.38,Healthy,0.0034244884986915332
172.89,Healthy,0.00340344508115918
173.4,Healthy,0.00337993991443483
173.91,Healthy,0.003354184243503987
174.42,Healthy,0.0033264695171594722
174.93,Healthy,0.003297157863817611
175.44,Healthy,0.0032666648408391226
175.95,Healthy,0.0032354360006194723
176.46,Healthy,0.003203919847561593
176.97,Healthy,0.0031725403119446686
177.48,Healthy,0.0031416718454302696
177.99,Healthy,0.0031116196714694303
178.5,Healthy,0.003082606759357777
179.01,Healthy,0.003054767969511446
179.52,Healthy,0.003028150811956274
180.03,Healthy,0.0030027215841335014
180.54,Healthy,0.0029783754180154973
181.05,Healthy,0.002954948930445929
181.56,Healthy,0.0029322345819778367
182.07,Healthy,0.0029099962906661897
182.58,Healthy,0.0028879861261530923
183.09,Healthy,0.0028659619156427758
183.6,Healthy,0.0028437053374343957
184.11,Healthy,0.0028210396616274746
184.62,Healthy,0.002797845880241033
185.13,Healthy,0.0027740756990451477
185.64,Healthy,0.002749759835627174
186.15,Healthy,0.002725010314125681
186.66,Healthy,0.002700015932571089
187.17,Healthy,0.0026750307346097724
187.68,Healthy,0.002650356058056086
188.19,Healthy,0.0026263174703292794
188.7,Healthy,0.0026032385523684165
189.21,Healthy,0.002581413974968317
189.72,Healthy,0.0025610845477190163
190.23,Healthy,0.002542416850069628
190.74,Healthy,0.002525489642770493
191.25,Healthy,0.0025102885258906074
191.76,Healthy,0.002496709330368223
192.27,Healthy,0.0024845696343265126
192.78,Healthy,0.002473626752346092
193.29,Healthy,0.002463599726505265
193.8,Healthy,0.0024541924006705926
194.31,Healthy,0.0024451146663313312
194.82,Healthy,0.0024360994327229015
195.33,Healthy,0.002426913716809122
195.84,Healthy,0.0024173633162900537
196.35,Healthy,0.0024072916303218258
196.86,Healthy,0.002396574128709765
197.37,Healthy,0.002385110578757803
197.88,Healthy,0.0023728173205378035
198.39,Healthy,0.0023596216253878068
198.9,Healthy,0.002345459551229543
199.41,Healthy,0.0023302778637455204
199.92,Healthy,0.002314039695465142
200.43,Healthy,0.0022967328337836442
200.94,Healthy,0.0022783789868903712
201.45,Healthy,0.002259042140147933
201.96,Healthy,0.0022388341931773065
202.47,Healthy,0.0022179164225796387
202.98,Healthy,0.002196495885311784
203.49,Healthy,0.0021748165853676523
204.0,Healthy,0.0021531459810650412
204.51,Healthy,0.002131758110232087
205.02,Healthy,0.0021109151465384312
205.53,Healthy,0.0020908494741710003
206.04,Healthy,0.0020717483238014566
206.55,Healthy,0.0020537426546105523
207.06,Healthy,0.002036901374281505
207.57,Healthy,0.0020212312889342525
208.08,Healthy,0.002006682505383579
208.59,Healthy,0.0019931584695710887
209.1,Healthy,0.0019805294517861935
209.61,Healthy,0.0019686480550372793
210.12,Healthy,0.0019573651797656962
210.63,Healthy,0.0019465447983038901
211.14,Healthy,0.0019360759082063842
211.65,Healthy,0.0019258802211860814
